绊按内靛,捞抚,己,积斥岿老,去牢咯何,己喊,矫,林/档,惫啊疙,惫啊内靛,快祈锅龋
11000,Jon,Yang,1971-10-06,扁去,巢己,Rockhampton,Queensland,龋林,AU,4700
11001,Eugene,Huang,1976-05-10,固去,巢己,Seaford,Victoria,龋林,AU,3198
11002,Ruben,Torres,1971-02-09,扁去,巢己,Hobart,Tasmania,龋林,AU,7001
11003,Christy,Zhu,1973-08-14,固去,咯己,North Ryde,New South Wales,龋林,AU,2113
11004,Elizabeth,Johnson,1979-08-05,固去,咯己,Wollongong,New South Wales,龋林,AU,2500
11005,Julio,Ruiz,1976-08-01,固去,巢己,East Brisbane,Queensland,龋林,AU,4169
11006,Janet,Alvarez,1976-12-02,固去,咯己,Matraville,New South Wales,龋林,AU,2036
11007,Marco,Mehta,1969-11-06,扁去,巢己,Warrnambool,Victoria,龋林,AU,3280
11008,Rob,Verhoff,1975-07-04,固去,咯己,Bendigo,Victoria,龋林,AU,3550
11009,Shannon,Carlson,1969-09-29,固去,巢己,Hervey Bay,Queensland,龋林,AU,4655
11010,Jacquelyn,Suarez,1969-08-05,固去,咯己,East Brisbane,Queensland,龋林,AU,4169
11011,Curtis,Lu,1969-05-03,扁去,巢己,East Brisbane,Queensland,龋林,AU,4169
11017,Shannon,Wang,1949-12-24,固去,咯己,Sunbury,Victoria,龋林,AU,3429
11018,Clarence,Rai,1955-10-06,固去,巢己,Bendigo,Victoria,龋林,AU,3550
11025,Alejandro,Beck,1951-06-22,扁去,巢己,Hawthorne,Queensland,龋林,AU,4171
11026,Harold,Sai,1951-10-01,固去,巢己,Goulburn,New South Wales,龋林,AU,2580
11027,Jessie,Zhao,1952-06-05,扁去,巢己,Warrnambool,Victoria,龋林,AU,3280
11028,Jill,Jimenez,1951-10-09,扁去,咯己,St. Leonards,New South Wales,龋林,AU,2065
11029,Jimmy,Moreno,1952-06-19,扁去,巢己,Bendigo,Victoria,龋林,AU,3550
11030,Bethany,Yuan,1958-02-18,扁去,咯己,Cloverdale,South Australia,龋林,AU,6105
11031,Theresa,Ramos,1953-02-18,扁去,咯己,Matraville,New South Wales,龋林,AU,2036
11032,Denise,Stone,1952-12-08,扁去,咯己,Melbourne,Victoria,龋林,AU,3000
11033,Jaime,Nath,1958-09-19,扁去,巢己,Milsons Point,New South Wales,龋林,AU,2061
11034,Ebony,Gonzalez,1952-12-16,扁去,咯己,North Sydney,New South Wales,龋林,AU,2055
11035,Wendy,Dominguez,1953-08-23,扁去,咯己,Cranbourne,Victoria,龋林,AU,3977
11038,Diana,Hernandez,1953-09-20,扁去,咯己,Lavender Bay,New South Wales,龋林,AU,2060
11039,Marc,Martin,1954-06-16,扁去,巢己,Wollongong,New South Wales,龋林,AU,2500
11044,Adam,Flores,1954-11-21,扁去,巢己,Hervey Bay,Queensland,龋林,AU,4655
11045,Leonard,Nara,1955-11-16,固去,巢己,Matraville,New South Wales,龋林,AU,2036
11046,Christine,Yuan,1955-09-19,扁去,咯己,Lavender Bay,New South Wales,龋林,AU,2060
11047,Jaclyn,Lu,1955-08-27,扁去,咯己,Geelong,Victoria,龋林,AU,3220
11048,Jeremy,Powell,1956-05-21,扁去,巢己,Sunbury,Victoria,龋林,AU,3429
11050,Alan,Zheng,1957-03-06,扁去,巢己,Hobart,Tasmania,龋林,AU,7001
11051,Daniel,Johnson,1957-01-31,固去,巢己,Caloundra,Queensland,龋林,AU,4551
11052,Heidi,Lopez,1957-02-03,固去,咯己,Matraville,New South Wales,龋林,AU,2036
11054,Deanna,Munoz,1957-09-07,扁去,咯己,Geelong,Victoria,龋林,AU,3220
11055,Gilbert,Raje,1957-09-02,扁去,巢己,East Brisbane,Queensland,龋林,AU,4169
11056,Michele,Nath,1958-10-01,扁去,咯己,Newcastle,New South Wales,龋林,AU,2300
11057,Carl,Andersen,1970-04-07,扁去,巢己,Lane Cove,New South Wales,龋林,AU,1597
11058,Marc,Diaz,1965-04-23,扁去,巢己,Findon,South Australia,龋林,AU,5023
